fips,state,densityMi,pop2023,pop2022,pop2020,pop2019,pop2010,growthRate,growth,growthSince2010,stateTaxRate,avgLocalTaxRate,combinedRate
6,California,249.81347,38915693,39029342,39501653,39276883.3,37253956,-0.00291,-113649,0.04461,0.0725,0.0157,0.0882
18,Indiana,191.27287,6852542,6833037,6788799,6758299.3,6483802,0.00285,19505,0.05687,0.07,0,0.07
28,Mississippi,62.45398,2930528,2940057,2958141,2959056.6,2967297,-0.00324,-9529,-0.01239,0.07,0.0007,0.0707
44,Rhode Island,1054.62573,1090483,1093734,1096345,1091967.2,1052567,-0.00297,-3251,0.03602,0.07,0,0.07
47,Tennessee,173.0163,7134327,7051339,6925619,6867667.6,6346105,0.01177,82988,0.12421,0.07,0.0255,0.0955
27,Minnesota,71.87131,5722897,5717184,5709852,5669259.3,5303925,0.001,5713,0.07899,0.0687,0.0061,0.0748
32,Nevada,29.23222,3209142,3177772,3115648,3074138.3,2700551,0.00987,31370,0.18833,0.0685,0.0138,0.0823
34,New Jersey,1258.5582,9255437,9261699,9271689,9223709.5,8791894,-0.00068,-6262,0.05272,0.0662,-0.0003,0.0659
5,Arkansas,58.86715,3063152,3045637,3014195,3004367.3,2915918,0.00575,17515,0.05049,0.065,0.0296,0.0946
20,Kansas,35.91504,2936378,2937150,2937919,2929438.9,2853118,-0.00026,-772,0.02918,0.065,0.0216,0.0866
53,Washington,117.83476,7830827,7785786,7724031,7624081.9,6724540,0.00579,45041,0.16451,0.065,0.0236,0.0886
9,Connecticut,749.49504,3629055,3626205,3597362,3595035.5,3574097,0.00079,2850,0.01538,0.0635,0,0.0635
17,Illinois,224.74459,12477595,12582032,12786580,12790985.2,12830632,-0.0083,-104437,-0.02752,0.0625,0.0257,0.0882
25,Massachusetts,894.13564,6974258,6981974,6995729,6950919,6547629,-0.00111,-7716,0.06516,0.0625,0,0.0625
48,Texas,116.75553,30500280,30029572,29232474,28823782.7,25145561,0.01567,470708,0.21295,0.0625,0.0195,0.082
49,Utah,41.6513,3422487,3380800,3283785,3231795,2763885,0.01233,41687,0.23829,0.061,0.0109,0.0719
11,District of Columbia,11062.54098,674815,671803,670868,663953.5,601723,0.00448,3012,0.12147,0.06,0,0.06
12,Florida,422.59351,22661577,22244823,21589602,21310772.8,18801310,0.01873,416754,0.20532,0.06,0.0102,0.0702
16,Idaho,23.88287,1973752,1939033,1849202,1821040,1567582,0.01791,34719,0.25911,0.06,0.0002,0.0602
19,Iowa,57.34903,3203345,3200517,3190571,3176149.4,3046355,0.00088,2828,0.05153,0.06,0.0094,0.0694
21,Kentucky,114.42109,4518031,4512310,4507445,4490637.2,4339367,0.00127,5721,0.04117,0.06,0,0.06
24,Maryland,634.04862,6154710,6164660,6173205,6133239.7,5773552,-0.00161,-9950,0.06602,0.06,0,0.06
26,Michigan,177.41244,10030722,10034113,10069577,10050983.3,9883640,-0.00034,-3391,0.01488,0.06,0,0.06
42,Pennsylvania,289.02749,12931957,12972008,12994440,12965233.9,12702379,-0.00309,-40051,0.01807,0.06,0.0034,0.0634
45,South Carolina,178.70337,5372002,5282634,5131848,5081199.6,4625364,0.01692,89368,0.16142,0.06,0.0143,0.0743
50,Vermont,70.2133,647156,647064,642893,641177.8,625741,0.00014,92,0.03422,0.06,0.003,0.063
54,West Virginia,73.41651,1764786,1775156,1791420,1797577.4,1852994,-0.00584,-10370,-0.0476,0.06,0.0055,0.0655
39,Ohio,287.50579,11747774,11756058,11797517,11771415.7,11536504,-0.0007,-8284,0.01831,0.0575,0.0149,0.0724
4,Arizona,65.61541,7453517,7359197,7179943,7101150.4,6392017,0.01282,94320,0.16607,0.056,0.0277,0.0837
23,Maine,45.17855,1393442,1385340,1363557,1360037.4,1328361,0.00585,8102,0.04899,0.055,0,0.055
31,Nebraska,25.67286,1972292,1967923,1962642,1949011.9,1826341,0.00222,4369,0.07991,0.055,0.0145,0.0695
51,Virginia,220.55895,8709873,8683619,8636471,8572926.3,8001024,0.00302,26254,0.08859,0.053,0.0045,0.0575
35,New Mexico,17.39527,2110011,2113344,2118390,2112468.9,2059179,-0.00158,-3333,0.02469,0.05,0.0272,0.0772
38,North Dakota,11.31271,780588,779261,779518,768825.3,672591,0.0017,1327,0.16057,0.05,0.0197,0.0697
55,Wisconsin,109.03241,5904977,5892539,5896271,5875342.5,5686986,0.00211,12438,0.03833,0.05,0.0043,0.0543
37,North Carolina,222.7994,10832061,10698973,10449445,10358048.8,9535483,0.01244,133088,0.13597,0.0475,0.0224,0.0699
40,Oklahoma,59.01851,4048375,4019800,3964912,3943555.9,3751351,0.00711,28575,0.07918,0.045,0.0448,0.0898
46,South Dakota,12.1814,923484,909824,887799,880437.1,814180,0.01501,13660,0.13425,0.045,0.019,0.064
22,Louisiana,105.39265,4553384,4590241,4651664,4639834.8,4533372,-0.00803,-36857,0.00441,0.0445,0.051,0.0955
29,Missouri,89.98998,6186091,6177957,6153998,6137490.9,5988927,0.00132,8134,0.03292,0.0422,0.0411,0.0833
1,Alabama,100.6762,5098746,5074296,5031362,5006199.4,4779736,0.00482,24450,0.06674,0.04,0.0525,0.0925
13,Georgia,191.91701,11037723,10912876,10729828,10625610.5,9687653,0.01144,124847,0.13936,0.04,0.034,0.074
15,Hawaii,223.14152,1433238,1440196,1451043,1441968.8,1360301,-0.00483,-6958,0.05362,0.04,0.0044,0.0444
36,New York,413.71663,19496810,19677151,20108296,20035276.6,19378102,-0.00916,-180341,0.00613,0.04,0.0452,0.0852
56,Wyoming,6.00743,583279,581381,577605,576207.1,563626,0.00326,1898,0.03487,0.04,0.0136,0.0536
8,Colorado,56.62333,5868555,5839926,5784865,5709298.1,5029196,0.0049,28629,0.1669,0.029,0.0488,0.0778
